Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,2,364,253,15,17
LIHC,"('Protein', 'mRNA', 'Methylation')",DSS,2,43,15,7,16
STAD,"('Protein', 'mRNA', 'Methylation')",DSS,1,121,14,41,10
STAD,"('Protein', 'mRNA', 'Methylation')",DSS,2,52,33,11,12
STES,"('Protein', 'mRNA', 'Methylation')",DSS,1,162,20,75,13
STES,"('Protein', 'mRNA', 'Methylation')",DSS,2,72,43,13,15
PanGI,"('Protein', 'mRNA', 'Methylation')",DSS,1,334,31,86,14
PanGI,"('Protein', 'mRNA', 'Methylation')",DSS,2,176,57,14,16
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,1,573,78,76,5
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,2,342,150,15,9
BLCA,"('Protein', 'mRNA', 'Methylation')",PFI,1,150,71,21,7
BLCA,"('Protein', 'mRNA', 'Methylation')",PFI,2,72,102,6,8
BRCA,"('Protein', 'mRNA', 'Methylation')",PFI,3,252,51,6,5
BRCA,"('Protein', 'mRNA', 'Methylation')",PFI,4,186,60,5,5
ESCA,"('Protein', 'mRNA', 'Methylation')",PFI,1,36,14,19,18
LIHC,"('Protein', 'mRNA', 'Methylation')",PFI,1,50,33,14,25
LIHC,"('Protein', 'mRNA', 'Methylation')",PFI,2,20,53,5,24
STAD,"('Protein', 'mRNA', 'Methylation')",PFI,1,110,32,35,15
STAD,"('Protein', 'mRNA', 'Methylation')",PFI,2,44,56,10,17
STES,"('Protein', 'mRNA', 'Methylation')",PFI,1,146,46,54,33
STES,"('Protein', 'mRNA', 'Methylation')",PFI,2,63,76,10,37
PanGI,"('Protein', 'mRNA', 'Methylation')",PFI,1,319,73,64,35
PanGI,"('Protein', 'mRNA', 'Methylation')",PFI,2,160,122,11,39
PanGyn,"('Protein', 'mRNA', 'Methylation')",PFI,2,254,187,18,8
PanGyn,"('Protein', 'mRNA', 'Methylation')",PFI,3,158,219,11,9
PanGyn,"('Protein', 'mRNA', 'Methylation')",PFI,4,111,228,8,10
PanGyn,"('Protein', 'mRNA', 'Methylation')",PFI,5,73,235,8,10
PanSCCs,"('Protein', 'mRNA', 'Methylation')",PFI,1,536,163,52,30
PanSCCs,"('Protein', 'mRNA', 'Methylation')",PFI,2,313,245,9,37
BLCA,"('Protein', 'mRNA', 'Methylation')",DFI,2,47,9,6,5
LIHC,"('Protein', 'mRNA', 'Methylation')",DFI,1,41,27,15,19
LIHC,"('Protein', 'mRNA', 'Methylation')",DFI,2,20,40,6,18
STAD,"('Protein', 'mRNA', 'Methylation')",DFI,1,89,8,30,13
STAD,"('Protein', 'mRNA', 'Methylation')",DFI,2,41,20,8,13
STES,"('Protein', 'mRNA', 'Methylation')",DFI,1,108,8,47,30
STES,"('Protein', 'mRNA', 'Methylation')",DFI,2,51,21,8,31
PanGI,"('Protein', 'mRNA', 'Methylation')",DFI,1,165,11,57,31
PanGI,"('Protein', 'mRNA', 'Methylation')",DFI,2,93,26,9,32
PanGyn,"('Protein', 'mRNA', 'Methylation')",DFI,2,216,85,17,5
PanGyn,"('Protein', 'mRNA', 'Methylation')",DFI,3,136,108,10,6
PanGyn,"('Protein', 'mRNA', 'Methylation')",DFI,4,96,113,8,7
PanGyn,"('Protein', 'mRNA', 'Methylation')",DFI,5,63,118,8,7
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DFI,1,324,22,47,24
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DFI,2,194,49,9,27
BLCA,"('Protein', 'MicroRNA', 'Methylation')",OS,2,91,99,7,6
ESCA,"('Protein', 'MicroRNA', 'Methylation')",OS,1,43,15,33,6
LIHC,"('Protein', 'MicroRNA', 'Methylation')",OS,1,77,12,22,26
LIHC,"('Protein', 'MicroRNA', 'Methylation')",OS,2,44,27,7,28
STAD,"('Protein', 'MicroRNA', 'Methylation')",OS,1,125,43,41,16
STAD,"('Protein', 'MicroRNA', 'Methylation')",OS,2,54,71,10,19
STES,"('Protein', 'MicroRNA', 'Methylation')",OS,1,168,58,74,22
STES,"('Protein', 'MicroRNA', 'Methylation')",OS,2,75,93,12,26
PanGI,"('Protein', 'MicroRNA', 'Methylation')",OS,1,356,79,85,23
PanGI,"('Protein', 'MicroRNA', 'Methylation')",OS,2,192,121,13,27
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",OS,5,143,224,9,5
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",OS,1,611,137,75,11
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",OS,2,363,250,15,17
